datetime_local,temperature,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,icon,humidity,icon_encoded,hour,day,temp_dew_spread,wind_gust_ratio
2019-10-01 00:00:00,26.0,22.01,101.0,3.08,6.42,1008.45,0.0,269.80000000000007,0.0,partly-cloudy-night,80.1,2,0,1,3.9899999999999984,2.08
2019-10-01 01:00:00,25.0,22.06,105.0,2.94,6.28,1008.24,0.0,269.80000000000007,0.0,partly-cloudy-night,85.3,2,1,1,2.9400000000000013,2.14
2019-10-01 02:00:00,25.0,22.06,106.0,2.82,6.08,1007.9,0.0,269.80000000000007,0.0,partly-cloudy-night,85.3,2,2,1,2.9400000000000013,2.16
2019-10-01 03:00:00,24.0,21.87,106.0,2.63,5.74,1007.61,0.0,270.4,0.0,partly-cloudy-night,89.4,2,3,1,2.129999999999999,2.18
2019-10-01 04:00:00,23.0,21.53,100.0,2.39,5.3,1007.51,0.0,271.3,0.0,partly-cloudy-night,92.6,2,4,1,1.4699999999999989,2.22
2019-10-01 05:00:00,23.0,21.56,94.0,2.09,4.47,1008.03,0.0,271.6,0.0,partly-cloudy-night,92.8,2,5,1,1.4400000000000013,2.14
2019-10-01 06:00:00,24.0,21.97,95.0,2.31,4.07,1008.61,0.0,271.8,0.0,partly-cloudy-night,89.8,2,6,1,2.030000000000001,1.76
2019-10-01 07:00:00,25.0,22.34,96.0,2.98,4.65,1008.97,0.0,272.4,0.0,partly-cloudy-day,86.7,3,7,1,2.66,1.56
2019-10-01 08:00:00,25.0,22.35,99.0,3.44,5.14,1009.53,1.0,272.8,0.0,partly-cloudy-day,86.8,3,8,1,2.6499999999999986,1.49
2019-10-01 09:00:00,27.0,22.21,102.0,3.49,4.77,1010.0,3.0,272.6,0.0,partly-cloudy-day,76.1,3,9,1,4.789999999999999,1.37
2019-10-01 10:00:00,28.0,22.12,101.0,2.92,3.52,1009.99,4.0,271.6,0.0,partly-cloudy-day,70.6,3,10,1,5.879999999999999,1.21
2019-10-01 11:00:00,30.0,21.71,91.0,2.21,2.32,1009.86,5.0,271.0,0.0,partly-cloudy-day,58.6,3,11,1,8.29,1.05
2019-10-01 12:00:00,31.0,21.1,77.0,1.9,1.9,1009.39,6.0,271.2,0.0,partly-cloudy-day,50.5,3,12,1,9.899999999999999,1.0
2019-10-01 13:00:00,32.0,20.52,60.0,2.03,2.03,1008.35,5.0,271.6,0.0,partly-cloudy-day,42.6,3,13,1,11.48,1.0
